id,code,name,city,state,country
49,LRL,"Niamtougou International Airport",Niamtougou,,Togo
50,MEQ,"Seunagan Airport",Meulaboh,,Indonesia
51,MPQ,"Ma'an Airport",Ma'an,,Jordan
52,NBK,"Suvarnabhumi International Airport",Bangkok,,Thailand
53,ONH,"Oneonta Municipal Airport",Oneonta,"New York","United States"
54,PMZ,"Palmar Sur Airport","Palmar Sur",,"Costa Rica"
55,RCR,"Fulton County Airport",Rochester,Indiana,"United States"
56,SFF,"Felts Field",Spokane,Washington,"United States"
57,SVA,"Savoonga Airport",Savoonga,Alaska,"United States"
58,TPE,"Taiwan Taoyuan International Airport","Taoyuan County",Taiwan,China
59,VHV,"Verkhnevilyuysk Airport",Verkhnevilyuysk,"Woehee Bueluue District",Russia
60,XKO,"Kemano Airport",Kemano,"British Columbia",Canada
61,YLL,"Lloydminster Airport",Lloydminster,Alberta/Saskatchewan,Canada
62,YZU,"Whitecourt Airport",Whitecourt,Alberta,Canada
63,ZVM,"Hannover Messe Bahnhof",Hannover,,Germany
64,AAB,"Arrabury Airport",Arrabury,Queensland,Australia
65,AMN,"Gratiot Community Airport",Alma,Michigan,"United States"
66,AZN,"Andizhan Airport",Andizhan,,Uzbekistan
67,BKE,"Baker City Municipal Airport","Baker City",Oregon,"United States"
68,BVG,"Berlevåg Airport",Berlevåg,,Norway
69,CTA,"Catania–Fontanarossa Airport",Catania,Sicily,Italy
70,DLN,"Dillon Airport",Dillon,Montana,"United States"
71,ELQ,"Gassim Regional Airport",Buraidah,,"Saudi Arabia"
72,FME,"Tipton Airport (Fort Meade)",Odenton,Maryland,"United States"
73,GLO,"Gloucester Airport","Gloucester / Cheltenham",England,"United Kingdom"
74,HEL,"Helsinki Airport","Helsinki / Vantaa",,Finland
75,IAU,"Iaura Airport",Iaura,,"Papua New Guinea"
76,JAL,"El Lencero Airport",Jalapa,Veracruz,Mexico
77,KCI,"Kon Airport",Kon,,Indonesia
78,KOT,"Kotlik Airport",Kotlik,Alaska,"United States"
79,LCX,"Longyan Guanzhishan Airport",Longyan,Fujian,China
80,MER,"Castle Airport",Atwater,California,"United States"
81,MPR,"McPherson Airport",McPherson,Kansas,"United States"
82,NBO,"Jomo Kenyatta International Airport",Nairobi,,Kenya
83,ONJ,"Odate-Noshiro Airport",Kitaakita,Akita,Japão
84,PNA,"Pamplona Airport",Pamplona,,Spain
85,RCS,"Rochester Airport",Rochester,Kent,"United Kingdom"
86,SFH,"San Felipe International Airport","San Felipe","Baja California",Mexico
87,SVC,"Grant County Airport","Silver City","New Mexico","United States"
88,TPF,"Peter O. Knight Airport",Tampa,Florida,"United States"
89,VIA,"Videira Airport",Videira,"Santa Catarina",Brazil
90,XKS,"Kasabonika Airport","Kasabonika First Nation",Ontario,Canada
91,YLN,"Yilan Airport",Yilan,Heilongjiang,China
92,YZV,"Sept-Îles Airport",Sept-Îles,Quebec,Canada
93,ZVR,"Hannover Hauptbahnhof",Hannover,,Germany
94,AAC,"El Arish International Airport","El Arish",,Egypt
95,AMO,"Mao Airport",Mao,,Chad
96,AZO,"Kalamazoo/Battle Creek International Airport","Kalamazoo/Battle Creek",Michigan,"United States"
97,BKF,"Brooks Lake Sea Plane Base","Brooks Lake",Alaska,"United States"
98,BVH,"Vilhena Airport",Vilhena,Rondônia,Brazil
99,CHB,"Chilas Airport",Chilas,,Pakistan
100,CTB,"Cut Bank Municipal Airport","Cut Bank",Montana,"United States"
101,DLP,"Disneyland Resort Paris Airport","Disneyland Resort Paris",Paris,France
102,ELR,"Irian Jaya Airport (Elelim Airport)",Elelim,,Indonesia
103,FMH,"Otis ANGB (Cape Cod CGAS)",Falmouth,Massachusetts,"United States"
104,GLP,"Gulgubip Airport",Gulgubip,,"Papua New Guinea"
105,HEM,"Helsinki-Malmi Airport","Helsinki / Malmi",,Finland
106,IBA,"Ibadan Airport",Ibadan,,Nigeria
107,JAM,"Bezmer Air Base","Yambol (Jambol)",,Bulgaria
108,KCJ,"Komaio Airport",Komaio,,"Papua New Guinea"
109,KOU,"Koulamoutou Airport",Koulamoutou,,Gabon
110,LCY,"London City Airport",London,England,"United Kingdom"
111,LRQ,"Laurie River Airport","Laurie River",Manitoba,Canada
112,MES,"Polonia International Airport",Medan,,Indonesia
113,MPT,"Maliana Airport",Maliana,,"East Timor (Timor-Leste)"
114,NBS,"Changbaishan Airport",Baishan,Jilin,China
115,ONK,"Olenyok Airport",Olenyok,"Sakha Republic",Russia
116,PNC,"Ponca City Regional Airport","Ponca City",Oklahoma,"United States"
117,RCT,"Nartron Field","Reed City",Michigan,"United States"
118,SFJ,"Kangerlussuaq Airport",Kangerlussuaq,,Greenland
119,SVD,"E.T. Joshua Airport","Arno Vale","Saint Vincent","Saint Vincent and the Grenadines"
120,TPH,"Tonopah Airport",Tonopah,Nevada,"United States"
121,VIC,"Vicenza Airport",Vicenza,,Italy
122,XKY,"Kaya Airport",Kaya,,"Burkina Faso"
123,YLO,"Shilo Airport",Shilo,Manitoba,Canada
124,YZW,"Teslin Airport",Teslin,Yukon,Canada
125,ZWC,"Stavanger Station",Hanover,,Norway
126,AAD,"Ad-Dabbah Airport","Al Dabbah",,Sudan
127,AMP,"Ampanihy Airport",Ampanihy,,Madagascar
128,AZP,"Atizapan Airport","Mexico City",,Mexico
129,BKG,"Branson Airport",Branson,Missouri,"United States"
130,BVI,"Birdsville Airport",Birdsville,Queensland,Australia
131,CHC,"Christchurch International Airport",Christchurch,,"New Zealand"
132,CTC,"Coronel Felipe Varela Airport",Catamarca,Catamarca,Argentina
133,ELS,"East London Airport","East London",,"South Africa"
134,FMI,"Kalemie Airport",Kalemie,,"Democratic Republic of the Congo"
135,GLR,"Gaylord Regional Airport",Gaylord,Michigan,"United States"
136,HEO,"Haelogo Airport",Haelogo,,"Papua New Guinea"
137,IBE,"Perales Airport",Ibagué,,Colombia
138,JAN,"Jackson-Evers International Airport",Jackson,Mississippi,"United States"
139,KCK,"Kirensk Airport",Kirensk,"Irkutsk Oblast",Russia
140,KOV,"Kokshetau Airport",Kokshetau,,Kazakhstan
141,LDA,"Malda Airport",Malda,,India
142,LRR,"Lar Airport",Lar,,Iran
143,MET,"Moreton Airport",Moreton,Queensland,Australia
144,MPU,"Mapua Airport",Mapua,,"Papua New Guinea"
145,NBW,"NAS Guantanamo Bay","Guantanamo Bay",,Cuba
146,PNE,"Northeast Philadelphia Airport",Philadelphia,Pennsylvania,"United States"
147,RCU,"Aeropuerto de Río Cuarto","Río Cuarto",Córdoba,Argentina
148,SFL,"São Filipe Airport",Fogo,,"Cape Verde"
149,SVE,"Susanville Municipal Airport",Susanville,California,"United States"
150,VID,"Vidin Airport",Vidin,,Bulgaria
151,XLB,"Lac Brochet Airport","Lac Brochet",Manitoba,Canada
152,YLP,"Mingan Airport",Mingan,Quebec,Canada
153,YZX,"CFB Greenwood / Greenwood Airport",Greenwood,"Nova Scotia",Canada
154,ZWE,"Antwerpen-Centraal Railway Station",Antwerp,,Belgium
155,AAE,"Rabah Bitat Airport (Les Salines Airport)",Annaba,,Algeria
156,AMQ,"Pattimura Airport",Ambon,,Indonesia
157,AZR,"Touat Cheikh Sidi Mohamed Belkebir Airport",Adrar,,Algeria
158,BKH,"Barking Sands PMRF",Kekaha,Hawaii,"United States"
159,BVK,"Huacaraje Airport",Huacaraje,,Bolivia
160,CHE,"Reenroe Airport",Cahersiveen,"County Kerry",Ireland
161,CTD,"Herrera Alonso Valderrama Airport",Chitré,,Panama
162,DLU,"Dali Airport",Dali,Yunnan,China
163,ELT,"Tour Sinai City Airport","El Tor",,Egypt
164,FMM,"Allgäu Airport",Memmingen,Bavaria,Germany
165,GLS,"Scholes International Airport at Galveston",Galveston,Texas,"United States"
166,IBI,"Iboki Airport",Iboki,,"Papua New Guinea"
167,JAQ,"Jacquinot Bay Airport","Jacquinot Bay",,"Papua New Guinea"
168,KOW,"Ganzhou Huangjin Airport",Ganzhou,Jiangxi,China
169,LDB,"Londrina Airport",Londrina,Paraná,Brazil
170,LRS,"Leros Island National Airport",Leros,,Greece
171,MEU,"Monte Dourado Airport",Almeirim,Pará,Brazil
172,MPV,"Edward F.Knapp State Airport","Barre / Montpelier",Vermont,"United States"
173,NBX,"Nabire Airport",Nabire,,Indonesia
174,ONM,"Socorro Municipal Airport",Socorro,"New Mexico","United States"
175,PNH,"Phnom Penh International Airport","Phnom Penh",,Cambodia
176,RDA,"Rockhampton Downs Airport","Rockhampton Downs","Northern Territory",Australia
177,SFM,"Sanford Seacoast Regional Airport",Sanford,Maine,"United States"
178,SVF,"Savé Airport",Savé,,Benin
179,TPQ,"Amado Nervo National Airport",Tepic,Nayarit,Mexico
180,VIE,"Vienna International Airport",Vienna,,Austria
181,XLO,"Long Xuyen Airport","Long Xuyen",,Vietnam
182,YLQ,"La Tuque Airport","La Tuque",Quebec,Canada
183,YZY,"Zhangye Ganzhou Airport",Zhangye,Gansu,China
184,ZWI,"Wilmington Station",Wilmington,Delaware,"United States"
185,AAF,"Apalachicola Municipal Airport",Apalachicola,Florida,"United States"
186,AMR,"Arno Airport",Arno,,"Marshall Islands"
187,AZS,"Samaná El Catey International Airport","El Catey",Samaná,"Dominican Republic"
188,BKI,"Kota Kinabalu International Airport","Kota Kinabalu",,Malaysia
189,BVL,"Baures Airport",Baures,,Bolivia
190,CHF,"Chinhae Airport",Chinhae,,"South Korea"
191,CTE,"Carti Airport",Cartí,,Panama
192,DLV,"Delissaville Airport",Delissaville,"Northern Territory",Australia
193,ELU,"Guemar Airport","El Oued",,Algeria
194,FMN,"Four Corners Regional Airport",Farmington,"New Mexico","United States"
195,GLT,"Gladstone Airport",Gladstone,Queensland,Australia
196,HES,"Hermiston Municipal Airport",Hermiston,Oregon,"United States"
197,IBL,"Indigo Bay Lodge Airport","Bazaruto Island",,Mozambique
198,JAS,"Jasper County Airport (Bell Field)",Jasper,Texas,"United States"
199,KCM,"Kahramanmaras Airport",Kahramanmaras,,Turkey
200,KOX,"Kokonao Airport",Kokonao,,Indonesia
201,LDC,"Lindeman Island Airport","Lindeman Island",Queensland,Australia
202,LRT,"Lorient South Brittany Airport",Lorient,,France
203,MEV,"Minden-Tahoe Airport",Minden,Nevada,"United States"
204,MPW,"Mariupol Airport",Mariupol,,Ukraine
205,NCA,"North Caicos Airport","North Caicos",,"Turks and Caicos Islands"
206,ONN,"Onion Bay Airport","Onion Bay",Alaska,"United States"
207,PNI,"Pohnpei International Airport",Kolonia,,"Federated States of Micronesia"
208,RDD,"Redding Municipal Airport",Redding,California,"United States"
209,SFO,"Aeroporto Internacional de São Francisco","São Francisco",California,"United States"
210,SVG,"Stavanger Airport, Sola",Stavanger,,Norway
211,TPR,"Tom Price Airport","Tom Price","Western Australia",Australia
212,VIF,"Vieste Airport",Vieste,,Italy
213,XLS,"Saint-Louis Airport",Saint-Louis,,Senegal
214,YLS,"Lebel-sur-Quévillon Airport",Lebel-sur-Quévillon,Quebec,Canada
215,ZAA,"Alice Arm Airport","Alice Arm","British Columbia",Canada
216,ZWU,"Union Station",Washington,D.C.,"United States"
217,AAG,"Arapoti Airport",Arapoti,Paraná,Brazil
218,AMS,"Amsterdam Airport Schiphol",Haarlemmermeer,,Netherlands
219,AZT,"Zapatoca Airport",Zapatoca,,Colombia
220,BKJ,"Boké Baralande Airport",Boké,,Guinea
221,BVM,"Belmonte Airport",Belmonte,Bahia,Brazil
222,CHG,"Chaoyang Airport",Chaoyang,Liaoning,China
223,CTF,"Coatepeque Airport",Coatepeque,Quetzaltenango,Guatemala
224,DLY,"Dillon's Bay Airport","Dillon's Bay",Erromango,Vanuatu
225,ELV,"Elfin Cove Seaplane Base","Elfin Cove",Alaska,"United States"
226,FMO,"Münster Osnabrück International Airport",Greven,"North Rhine-Westphalia",Germany
227,GLV,"Golovin Airport",Golovin,Alaska,"United States"
228,HET,"Hohhot Baita International Airport",Hohhot,"Inner Mongolia",China
229,IBO,"Ibo Airport",Ibo,,Mozambique
230,JAT,"Jabot Airport","Jabat Island",,"Marshall Islands"
231,KCN,"Chernofski Harbor Seaplane Base","Chernofski Harbor",Alaska,"United States"
232,KOY,"Olga Bay Seaplane Base","Olga Bay","Kodiak Island Borough","United States"
233,LDE,"Tarbes - Lourdes Pyrenees Airport",Lourdes,,France
234,LRU,"Las Cruces International Airport","Las Cruces","New Mexico","United States"
235,MEW,"Mweka Airport",Mweka,,"Democratic Republic of the Congo"
236,MPX,"Miyanmin Airport",Miyanmin,,"Papua New Guinea"
237,NCE,"Côte d'Azur International Airport",Nice,,France
238,ONO,"Ontario Municipal Airport",Ontario,Oregon,"United States"
239,PNK,"Supadio Airport",Pontianak,Kalimantan,Indonesia
240,SFQ,"Sanliurfa Airport",Sanliurfa,,Turkey
241,SVH,"Statesville Regional Airport",Statesville,"North Carolina","United States"
242,TPS,"Trapani-Birgi Airport",Trapani,,Italy
243,VIG,"Juan Pablo Perez Alfonso Airport","El Vigía",,Venezuela
244,XLU,"Leo Airport",Leo,,"Burkina Faso"
245,YLR,"Leaf Rapids Airport","Leaf Rapids",Manitoba,Canada
246,ZAC,"York Landing Airport","York Landing",Manitoba,Canada
247,ZXA,"Aberdeen Railway Station",Aberdeen,,Scotland
248,AAH,"Merzbrück Airport",Aachen,,Germany
249,AMT,"Amata Airport",Amata,"Northern Territory",Australia
250,AZZ,"Ambriz Airport",Ambriz,,Angola
251,BVO,"Bartlesville Municipal Airport",Bartlesville,Oklahoma,"United States"
252,CHH,"Chachapoyas Airport",Chachapoyas,,Peru
253,CTG,"Rafael Núñez International Airport",Cartagena,,Colombia
254,DLZ,"Omnogobi Airport",Dalanzadgad,,Mongolia
255,ELW,"Ellamar Seaplane Base",Ellamar,Alaska,"United States"
256,FMS,"Fort Madison Municipal Airport","Fort Madison",Iowa,"United States"
257,GLW,"Glasgow Municipal Airport",Glasgow,Kentucky,"United States"
258,HEX,"Herrera International Airport (closed)","Santo Domingo",,"Dominican Republic"
259,IBP,"Iberia Airport",Iberia,,Peru
260,JAU,"Francisco Carle Airport",Jauja,,Peru
261,KCO,"Cengiz Topel Naval Air Station",Kocaeli,,Turkey
262,KOZ,"Ouzinkie Airport",Ouzinkie,Alaska,"United States"
263,LDG,"Leshukonskoye Airport",Leshukonskoye,,Russia
264,LRV,"Los Roques Airport","Los Roques",,Venezuela
265,MEX,"Mexico City International Airport","Mexico City",,Mexico
266,MPY,"Maripasoula Airport",Maripasoula,,"French Guiana"
267,NCG,"Nuevo Casas Grandes Municipal Airport","Nuevo Casas Grandes",Chihuahua,Mexico
268,ONP,"Newport Municipal Airport",Newport,Oregon,"United States"
269,PNN,"Princeton Municipal Airport",Princeton,Maine,"United States"
270,RDM,"Roberts Field",Redmond,Oregon,"United States"
271,SFS,"Subic Bay International Airport",Morong,Bataan,Philippines
272,SVJ,"Svolvær Airport, Helle",Svolvær,,Norway
273,TQA,"Tasiusaq Heliport (Qaasuitsup)",Tasiusaq,Qaasuitsup,Greenland
274,VIH,"Rolla National Airport",Rolla,Missouri,"United States"
275,XLW,"Lemwerder Airport",Lemwerder,"Lower Saxony",Germany
276,YLT,"Alert Airport",Alert,Nunavut,Canada
277,ZAD,"Zadar Airport",Zadar,,Croatia
278,ZXE,"Edinburgh Waverley Railway Station",Edinburgh,,Scotland
279,AAI,"Arraias Airport",Arraias,Tocantins,Brazil
280,AMU,"Amanab Airport",Amanab,,"Papua New Guinea"
281,BAA,"Bialla Airport",Bialla,,"Papua New Guinea"
282,BKL,"Burke Lakefront Airport",Cleveland,Ohio,"United States"
283,BVP,"Bolovip Airport",Bolovip,,"Papua New Guinea"
284,CHI,"All Airports",Chicago,,"United States"
285,CTH,"Chester County G. O. Carlson Airport",Coatesville,Pennsylvania,"United States"
286,DMA,"Davis Monthan Air Force Base",Tucson,Arizona,"United States"
287,ELX,"El Tigre Airport","El Tigre",,Venezuela
288,FMY,"Page Field","Fort Myers",Florida,"United States"
289,GLX,"Gamarmalamo Airport (Galela Airport)",Galela,"North Maluku",Indonesia
290,HEY,"Hanchey Army Heliport","Fort Rucker","Dale County","United States"
291,IBZ,"Ibiza Airport",Ibiza,,Spain
292,JAV,"Ilulissat Airport",Ilulissat,,Greenland
293,KCP,"Kamenets-Podolskiy Airport",Kamianets-Podilskyi,,Ukraine
294,KPA,"Kopiago Airport",Kopiago,,"Papua New Guinea"
295,LDH,"Lord Howe Island Airport","Lord Howe Island","New South Wales",Australia
296,LSA,"Losuia Airport (Kiriwina Airfield)",Losuia,"Kiriwina Island","Papua New Guinea"
297,MEY,"Meghauli Airport",Meghauli,,Nepal
298,MPZ,"Mount Pleasant Municipal Airport","Mount Pleasant",Iowa,"United States"
299,NCL,"Newcastle Airport","Newcastle upon Tyne",,"United Kingdom"
300,ONQ,"Zonguldak Airport",Zonguldak,,Turkey
301,PNQ,"Pune International Airport",Pune,,India
302,RDR,"Grand Forks Air FORCE Base","Grand Forks","North Dakota","United States"
303,SFT,"Skellefteå Airport",Skellefteå,Skellefteå,Sweden
304,SVN,"Hunter Army Airfield",Savannah,Georgia,"United States"
305,TQI,"Tiniteqilaaq Heliport",Tiniteqilaaq,,Greenland
306,VII,"Vinh Airport",Vinh,"Nghe An",Vietnam
307,XMA,"Maramag Airport",Maramag,Bukidnon,Philippines
308,YLW,"Kelowna International Airport",Kelowna,"British Columbia",Canada
309,ZAG,"Zagreb Airport (Pleso Airport)",Zagreb,,Croatia
310,ZXS,"Buffalo-Exchange Street Station",Buffalo,"New York","United States"
311,AAJ,"Cayana Airstrip",Awaradam,,Suriname
312,AMV,"Amderma Airport",Amderma,,Russia
313,BAB,"Beale Air Force Base",Marysville,California,"United States"
314,BKM,"Bakalalan Airport",Bakalalan,Sarawak,Malaysia
315,BVR,"Esparadinha Airport",Esparadinha,"Brava Island","Cape Verde"
316,CHJ,"Chipinge Airport",Chipinge,,Zimbabwe
317,CTI,"Cuito Cuanavale Airport","Cuito Cuanavale",,Angola
318,DMB,"Taraz Airport (Zhambul Airport)","Taraz (formerly Dzhambul and Aulie-Ata)",,Kazakhstan
319,ELY,"Ely Airport",Ely,Nevada,"United States"
320,FNA,"Lungi International Airport",Freetown,,"Sierra Leone"
321,GLY,"Goldsworthy Airport",Goldsworthy,"Western Australia",Australia
322,ICA,"Icabaru Airport",Icabaru,,Venezuela
323,JAX,"Jacksonville International Airport",Jacksonville,Florida,"United States"
324,KCQ,"Chignik Lake Airport","Chignik Lake",Alaska,"United States"
325,KPB,"Point Baker Seaplane Base","Point Baker",Alaska,"United States"
326,LDI,"Kikwetu Airport",Lindi,,Tanzania
327,LSB,"Lordsburg Municipal Airport",Lordsburg,"New Mexico","United States"
328,MEZ,"Messina Airport",Messina,,"South Africa"
329,MQA,"Mandora Station Airport","Mandora Station","Western Australia",Australia
330,NCN,"Chenega Bay Airport",Chenega,Alaska,"United States"
331,ONT,"Ontario International Airport",Ontario,California,"United States"
332,PNR,"Pointe Noire Airport",Pointe-Noire,,"Republic of the Congo"
333,RDT,"Richard Toll Airport","Richard Toll",,Senegal
334,SFZ,"North Central State Airport",Pawtucket,"Rhode Island","United States"
335,SVO,"Sheremetyevo International Airport",Moscow,,Russia
336,TQN,"Taloqan Airport",Taloqan,,Afghanistan
337,VIJ,"Virgin Gorda Airport","Virgin Gorda",,"British Virgin Islands"
338,XMB,"Marina Mall Airport","Marina Mall",Dubai,UAE
339,YMA,"Mayo Airport",Mayo,Yukon,Canada
340,ZAH,"Zahedan Airport",Zahedan,,Iran
341,ZYA,"Amsterdam Centraal Railway Station",Amsterdam,,Netherlands
342,AAK,"Aranuka Airport",Aranuka,,Kiribati
343,AMW,"Ames Municipal Airport",Ames,Iowa,"United States"
344,BAC,"Barranca de Upia Airport","Barranca de Upia",Meta,Colombia
345,BKN,"Birni Nkoni Airport","Birni Nkoni",,Niger
346,BVS,"Breves Airport",Breves,Pará,Brazil
347,CHK,"Chickasha Municipal Airport",Chickasha,Oklahoma,"United States"
348,CTK,"Canton Municipal Airport",Canton,"South Dakota","United States"
349,DMD,"Doomadgee Mission Airport","Doomadgee Mission",Queensland,Australia
350,FNB,"Neubrandenburg Airport",Neubrandenburg,Mecklenburg-Vorpommern,Germany
351,GLZ,"Gilze-Rijen Air Base",Breda,,Netherlands
352,HFA,"Haifa Airport (Uri Michaeli Airport)",Haifa,,Israel
353,ICI,"Cicia Airport",Cicia,,Fiji
354,JBP,"Commerce Business Park Heliport",Commerce,California,"United States"
355,KCR,"Colorado Creek Airport","Colorado Creek",Alaska,"United States"
356,KPC,"Port Clarence Coast Guard Station","Port Clarence",Alaska,"United States"
357,LDJ,"Linden Airport",Linden,"New Jersey","United States"
358,LSC,"La Florida Airport","La Serena",,Chile
359,MFA,"Mafia Island Airport","Mafia Island",,Tanzania
360,MQB,"Macomb Municipal Airport",Macomb,Illinois,"United States"
361,NCU,"Nukus Airport",Nukus,,Uzbekistan
362,ONX,"Enrique Adolfo Jiménez Airport",Colón,,Panama
363,PNS,"Pensacola International Airport",Pensacola,Florida,"United States"
364,RDU,"Raleigh–Durham International Airport","Raleigh / Durham","North Carolina","United States"
365,SGA,"Sheghnan Airport",Sheghnan,,Afghanistan
366,SVQ,"San Pablo Airport",Seville,,Spain
367,TQP,"Trepell Airport",Trapell,Queensland,Australia
368,VIL,"Dakhla Airport",Dakhla,,"Western Sahara"
369,XMD,"Madison Municipal Airport",Madison,"South Dakota","United States"
370,YMB,"Merritt Airport",Merritt,"British Columbia",Canada
371,ZAJ,"Zaranj Airport",Zaranj,,Afghanistan
372,ZYN,"Nîmes Railway Station",Nîmes,,France
373,AAL,"Aalborg Airport",Aalborg,,Denmark
374,AMX,"Ammaroo Airport",Ammaroo,"Northern Territory",Australia
375,BAD,"Barksdale Air Force Base","Bossier City",Louisiana,"United States"
376,BKO,"Senou International Airport",Bamako,,Mali
377,BVU,"Beluga Airport",Beluga,Alaska,"United States"
378,CHL,"Challis Airport",Challis,Idaho,"United States"
379,CTL,"Charleville Airport",Charleville,Queensland,Australia
380,DME,"Domodedovo International Airport",Moscow,,Russia
381,EMA,"East Midlands Airport","Castle Donington",Leicestershire,"United Kingdom"
382,FNC,"Madeira Airport",Funchal,Madeira,Portugal
383,GMA,"Gemana Airport",Gemana,,"Democratic Republic of the Congo"
384,HFD,"Hartford-Brainard Airport",Hartford,Connecticut,"United States"
385,JBQ,"La Isabela International Airport","La Isabela",,"Dominican Republic"
386,KCS,"Kings Creek Airport","Kings Creek","Northern Territory",Australia
387,KPE,"Yapsiei Airport",Yapsiei,,"Papua New Guinea"
388,LDK,"Lidköping-Hovby Airport",Lidköping,,Sweden
389,LSE,"La Crosse Regional Airport","La Crosse",Wisconsin,"United States"
390,MFB,"Monfort Airport",Monfort,,Colombia
391,MQC,"Miquelon Airport",Miquelon,,"Saint Pierre and Miquelon"
392,NCY,"Meythet Airport",Annecy,,France
393,ONY,"Olney Municipal Airport",Olney,Texas,"United States"
394,PNT,"Teniente Julio Gallardo Airport","Puerto Natales",,Chile
395,RDV,"Red Devil Airport","Red Devil",Alaska,"United States"
396,SGC,"Surgut Airport",Surgut,,Russia
397,SVR,"Savissivik Heliport",Savissivik,,Greenland
398,VIN,"Gavryshivka International",Vinnytsia,,Ukraine
399,XMF,"Montbéliard Courcelles Airport",Montbéliard,,France
400,YMC,"Maricourt Airstrip",Maricourt,Quebec,Canada
401,ZAL,"Pichoy Airport",Valdivia,,Chile
402,ZYP,"Pennsylvania Station","New York City","New York","United States"
403,AAM,"Mala Mala Airport","Mala Mala",,"South Africa"
404,AMY,"Ambatomainty Airport",Ambatomainty,,Madagascar
405,BAE,"Barcelonnette - Saint-Pons Airport","Barcelonnette / Saint-Pons",Alpes-de-Haute-Provence,France
406,BKP,"Barkly Downs Airport","Barkly Downs",Queensland,Australia
407,BVW,"Batavia Downs Airport","Batavia Downs",Queensland,Australia
408,CHM,"Tnte. FAP Jaime Montreuil Morales Airport",Chimbote,"Ancash Region",Peru
409,CTM,"Chetumal International Airport",Chetumal,"Quintana Roo",Mexico
410,DMK,"Don Mueang International Airport","Don Muang",Bangkok,Thailand
411,EMD,"Emerald Airport",Emerald,Queensland,Australia
412,FNE,"Fane Airport",Fane,,"Papua New Guinea"
413,GMB,"Gambela Airport",Gambela,,Ethiopia
414,HFE,"Hefei Luogang International Airport",Hefei,Anhui,China
415,ICL,"Schenck Field",Clarinda,Iowa,"United States"
416,JBR,"Jonesboro Municipal Airport",Jonesboro,Arkansas,"United States"
417,KCT,"Koggala Airport",Galle,,"Sri Lanka"
